"","L4x4","ALFL_max_sum","AMBI_max_sum","AMCO_max_sum","AMCR_max_sum","AMGO_max_sum","AMRE_max_sum","AMRO_max_sum","AMWI_max_sum","ATSP_max_sum","BADO_max_sum","BAOR_max_sum","BARS_max_sum","BAWA_max_sum","BAWW_max_sum","BBWA_max_sum","BCCH_max_sum","BCFR_max_sum","BHCO_max_sum","BHVI_max_sum","BLBW_max_sum","BLJA_max_sum","BLPW_max_sum","BOCH_max_sum","BOOW_max_sum","BOWA_max_sum","BRBL_max_sum","BRCR_max_sum","BRSP_max_sum","BTGN_max_sum","BTNW_max_sum","BWHA_max_sum","BWWA_max_sum","CANG_max_sum","CAWA_max_sum","CCLO_max_sum","CCSP_max_sum","CEDW_max_sum","CHSP_max_sum","CMWA_max_sum","COLO_max_sum","CONI_max_sum","CONW_max_sum","CORA_max_sum","COYE_max_sum","CSWA_max_sum","DEJU_max_sum","EAKI_max_sum","EAPH_max_sum","EUST_max_sum","FOSP_max_sum","FRGU_max_sum","GCKI_max_sum","GCTH_max_sum","GHOW_max_sum","GRAJ_max_sum","GRCA_max_sum","GRYE_max_sum","HASP_max_sum","HEBA_max_sum","HEDT_max_sum","HENO_max_sum","HERA_max_sum","HETH_max_sum","HETR_max_sum","HEWI_max_sum","HOFI_max_sum","HOSP_max_sum","HOWR_max_sum","LCSP_max_sum","LEFL_max_sum","LEYE_max_sum","LIAI_max_sum","LIBA_max_sum","LIDT_max_sum","LINO_max_sum","LIRA_max_sum","LISP_max_sum","LITR_max_sum","LIWI_max_sum","MAWA_max_sum","MAWR_max_sum","MEGU_max_sum","MGWA_max_sum","MOAI_max_sum","MOBA_max_sum","MODO_max_sum","MODT_max_sum","MONO_max_sum","MORA_max_sum","MOTR_max_sum","MOWA_max_sum","MOWI_max_sum","MYWA_max_sum","NAWA_max_sum","NESP_max_sum","NOBO_max_sum","NOFL_max_sum","NOGO_max_sum","NOPA_max_sum","NOWA_max_sum","NRWS_max_sum","NSWO_max_sum","OCWA_max_sum","OSFL_max_sum","OVEN_max_sum","PAWA_max_sum","PAWR_max_sum","PBGR_max_sum","PHVI_max_sum","PISI_max_sum","PIWO_max_sum","PSFL_max_sum","PUFI_max_sum","RBGR_max_sum","RBNU_max_sum","RCKI_max_sum","RESQ_max_sum","REVI_max_sum","RNGR_max_sum","RUBL_max_sum","RUGR_max_sum","RWBL_max_sum","SACR_max_sum","SAPH_max_sum","SAVS_max_sum","SCTA_max_sum","SEWR_max_sum","SORA_max_sum","SOSA_max_sum","SOSP_max_sum","SPSA_max_sum","SPTO_max_sum","SWSP_max_sum","SWTH_max_sum","TEWA_max_sum","TOSO_max_sum","TRES_max_sum","UNAM_max_sum","UNBL_max_sum","UNCV_max_sum","UNFI_max_sum","UNFL_max_sum","UNKN_max_sum","UNOW_max_sum","UNPA_max_sum","UNSH_max_sum","UNSP_max_sum","UNSW_max_sum","UNTE_max_sum","UNTH_max_sum","UNTR_max_sum","UNVI_max_sum","UNWA_max_sum","UNWO_max_sum","UNYE_max_sum","VATH_max_sum","VEER_max_sum","WAVI_max_sum","WBBE_max_sum","WBNU_max_sum","WCSP_max_sum","WETA_max_sum","WEWP_max_sum","WISN_max_sum","WIWA_max_sum","WIWR_max_sum","WOFR_max_sum","WTDE_max_sum","WTSP_max_sum","WWCR_max_sum","YBFL_max_sum","YBSA_max_sum","YEWA_max_sum","YHBL_max_sum","YRWA_max_sum"
"14","L-11-3",9,0,0,0,0,9,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,1,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,4,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,1,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,13,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,22,0,1,0,0,0,3
"15","L-11-4",16,0,0,1,0,5,2,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,1,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,11,0,1,1,0,0,0,0,4,0,9,0,0,0,0,0,3,7,2,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,22,0,0,0,1,0,5
"16","L-12-0",12,0,0,2,0,5,23,0,0,0,0,1,0,2,4,4,1,4,5,2,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,11,3,40,2,1,0,1,0,13,0,18,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,12,4,0,0,0,0,0,0,34,0,0,6,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,2,0,35,0,0,0,1,1,1,0,0,6,0,21,2,31,0,0,0,12,0,0,4,0,1,4,0,10,0,1,22,31,37,0,14,0,0,1,0,0,11,0,13,0,3,0,0,3,16,6,10,0,0,0,0,0,0,0,0,0,2,1,0,21,0,0,55,0,0,0,7,0,25
"17","L-12-1",6,0,0,2,0,3,11,0,0,0,0,0,0,3,1,4,0,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,3,14,0,0,0,3,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,6,0,0,0,0,0,0,12,0,0,3,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,28,0,0,0,0,0,0,0,0,6,1,0,1,23,0,0,0,7,0,0,0,0,0,2,0,5,0,0,6,7,22,0,3,2,0,0,0,0,6,0,4,0,1,0,0,1,4,2,7,0,0,0,0,1,0,0,0,0,1,0,1,4,0,0,32,0,0,0,5,0,9
"18","L-12-2",2,0,0,2,0,2,10,0,0,0,0,0,0,3,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,14,0,1,0,1,0,4,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,2,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,6,1,29,0,0,0,6,0,0,0,0,0,2,0,9,0,0,8,6,20,0,4,0,0,0,0,0,7,0,8,0,0,0,0,1,6,1,3,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,34,0,0,0,3,0,17
"19","L-12-3",3,0,0,2,0,4,7,0,0,0,0,0,0,3,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,3,2,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,6,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,1,0,0,0,0,2,0,1,0,25,0,0,0,3,0,0,0,0,0,0,0,8,0,1,3,5,12,0,4,1,0,0,0,0,1,0,6,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,37,0,0,0,5,0,5
"20","L-12-4",5,0,0,6,0,0,6,0,0,0,0,0,0,1,2,2,1,1,5,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,9,1,20,2,1,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,0,1,0,6,0,25,0,0,1,6,0,0,0,0,0,2,0,6,0,1,9,9,21,0,2,0,0,1,0,0,3,0,4,0,1,0,0,3,7,5,4,0,0,0,0,0,0,0,1,1,0,0,2,13,0,0,40,0,0,0,1,0,10
"21","L-13-0",18,0,0,1,0,4,10,0,0,2,1,0,0,4,3,8,0,0,5,0,0,1,0,0,0,0,7,0,0,0,0,0,0,3,0,6,5,18,1,1,0,18,2,8,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,24,0,0,8,1,1,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,2,2,61,6,0,0,5,0,0,0,0,17,6,9,0,42,0,0,1,2,0,0,0,0,0,2,0,2,0,0,7,16,29,0,2,6,0,0,1,0,2,0,8,0,0,0,0,0,7,7,0,3,0,0,0,0,0,0,0,5,3,0,2,13,0,0,59,0,1,2,1,0,19
"22","L-13-1",2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,8,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,3,17,0,0,0,9,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0,0,1,1,0,0,0,0,3,3,6,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,14,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,4,7,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,23,0,0,0,0,0,15
"23","L-13-2",2,0,0,0,0,1,4,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,8,0,0,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,2,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,2,0,29,3,0,0,1,0,0,0,0,5,2,2,1,20,0,0,0,2,0,0,0,0,0,2,0,1,0,0,5,15,9,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,3,1,0,0,0,0,2,0,0,0,4,0,0,1,5,0,0,22,0,0,0,0,0,11
"24","L-13-3",0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,3,0,0,4,0,0,1,3,0,0,0,1,0,0,0,0,0,3,1,0,1,0,19,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,18,1,0,0,1,0,0,0,0,4,1,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,8,5,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,27
"25","L-13-4",1,0,0,0,0,0,5,0,0,4,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,1,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,6,1,4,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,15,9,0,0,0,0,0,0,0,3,0,6,0,2,0,0,0,5,3,2,0,0,0,0,1,0,0,0,3,0,0,1,6,0,0,30,0,0,1,0,0,25
"26","L-14-0",12,0,0,0,0,3,4,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,1,26,1,1,0,0,1,5,0,25,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,53,0,0,0,0,0,2,2,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,9,13,0,0,2,3,0,0,0,0,1,19,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,25,12,0,0,1,0,0,1,0,1,0,6,0,0,0,0,4,13,0,2,0,1,0,0,0,0,0,1,0,0,0,3,15,0,0,35,0,0,0,0,0,34
"27","L-14-1",13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,1,8,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,0,3,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9,4,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,30,0,0,0,0,0,9
"28","L-14-2",14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,14,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,7,10,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0,38,0,0,0,0,0,15
"29","L-14-3",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,3,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,9,1,3,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,27,0,0,0,0,0,11
